anio,clave_ent,entidad,tipo_de_delito,nombre_mes,frecuencia,mes,fecha
2024,20,Oaxaca,Homicidio,enero,154.0,1,2024-01-01
2024,20,Oaxaca,Homicidio,febrero,166.0,2,2024-02-01
2024,20,Oaxaca,Homicidio,marzo,184.0,3,2024-03-01
2024,20,Oaxaca,Homicidio,abril,200.0,4,2024-04-01
2024,20,Oaxaca,Homicidio,mayo,223.0,5,2024-05-01
2024,20,Oaxaca,Homicidio,junio,195.0,6,2024-06-01
2024,20,Oaxaca,Homicidio,julio,201.0,7,2024-07-01
2024,20,Oaxaca,Homicidio,agosto,186.0,8,2024-08-01
2024,20,Oaxaca,Homicidio,septiembre,190.0,9,2024-09-01
2024,20,Oaxaca,Homicidio,octubre,185.0,10,2024-10-01
2024,20,Oaxaca,Homicidio,noviembre,168.0,11,2024-11-01
2024,20,Oaxaca,Homicidio,diciembre,151.0,12,2024-12-01
2025,20,Oaxaca,Homicidio,enero,170.0,1,2025-01-01
2025,20,Oaxaca,Homicidio,febrero,0.0,2,2025-02-01
2025,20,Oaxaca,Homicidio,marzo,0.0,3,2025-03-01
2025,20,Oaxaca,Homicidio,abril,0.0,4,2025-04-01
2025,20,Oaxaca,Homicidio,mayo,0.0,5,2025-05-01
2025,20,Oaxaca,Homicidio,junio,0.0,6,2025-06-01
2025,20,Oaxaca,Homicidio,julio,0.0,7,2025-07-01
2025,20,Oaxaca,Homicidio,agosto,0.0,8,2025-08-01
2025,20,Oaxaca,Homicidio,septiembre,0.0,9,2025-09-01
2025,20,Oaxaca,Homicidio,octubre,0.0,10,2025-10-01
2025,20,Oaxaca,Homicidio,noviembre,0.0,11,2025-11-01
2025,20,Oaxaca,Homicidio,diciembre,0.0,12,2025-12-01
